"Statistic Label","Month","Local Electoral Area","Age Group","UNIT","VALUE"
"Primary Course Completed","2021 January","Waterford City South, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Waterford City South, Waterford","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Waterford City East, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Waterford City East, Waterford","12 years and over","%","5.3"
"Primary Course Completed","2021 January","Athlone, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Athlone, Westmeath","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Moate, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Moate, Westmeath","12 years and over","%","4.2"
"Primary Course Completed","2021 January","Kinnegad, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kinnegad, Westmeath","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Mullingar, Westmeath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Mullingar, Westmeath","12 years and over","%","3"
"Primary Course Completed","2021 January","Gorey, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Gorey, Wexford","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Kilmuckridge, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kilmuckridge, Wexford","12 years and over","%","3.6"
"Primary Course Completed","2021 January","New Ross, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","New Ross, Wexford","12 years and over","%","2.9"
"Primary Course Completed","2021 January","Rosslare, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Rosslare, Wexford","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Wexford, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Wexford, Wexford","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Enniscorthy, Wexford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Enniscorthy, Wexford","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Baltinglass, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Baltinglass, Wicklow","12 years and over","%","2.3"
"Primary Course Completed","2021 January","Bray West, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Bray West, Wicklow","12 years and over","%","1.2"
"Primary Course Completed","2021 January","Greystones, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Greystones, Wicklow","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Wicklow, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Wicklow, Wicklow","12 years and over","%","1.5"
"Primary Course Completed","2021 January","Arklow, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Arklow, Wicklow","12 years and over","%","1.3"
"Primary Course Completed","2021 January","Bray East, Wicklow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Bray East, Wicklow","12 years and over","%","1.1"
"Primary Course Completed","2021 January","Rush-Lusk, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Rush-Lusk, Fingal","12 years and over","%","1.3"
"Primary Course Completed","2021 January","Swords, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Swords, Fingal","12 years and over","%","1.2"
"Primary Course Completed","2021 January","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Blanchardstown-Mulhuddart, Fingal","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Castleknock, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Castleknock, Fingal","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Howth-Malahide, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Howth-Malahide, Fingal","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Dundrum, Dún Laoghaire-Rathdown","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","%","1.3"
"Primary Course Completed","2021 January","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","%","1.4"
"Primary Course Completed","2021 January","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","%","1.8"
"Primary Course Completed","2021 January","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","%",""
"Primary Course Completed","2021 January","Blackrock, Dún Laoghaire-Rathdown","12 years and over","%","2"
"Primary Course Completed","2021 January","Lucan, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Lucan, South Dublin","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Tallaght Central, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tallaght Central, South Dublin","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Rathfarnham-Templeogue, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Rathfarnham-Templeogue, South Dublin","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Firhouse-Bohernabreena, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Firhouse-Bohernabreena, South Dublin","12 years and over","%","1.8"
"Primary Course Completed","2021 January","Tallaght South, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tallaght South, South Dublin","12 years and over","%","1.4"
"Primary Course Completed","2021 January","Clondalkin, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Clondalkin, South Dublin","12 years and over","%","1.5"
"Primary Course Completed","2021 January","Balbriggan, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Balbriggan, Fingal","12 years and over","%","1.2"
"Primary Course Completed","2021 January","Ongar, Fingal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ongar, Fingal","12 years and over","%","1.4"
"Primary Course Completed","2021 January","Palmerstown-Fonthill, South Dublin","5 - 11 years","%",""
"Primary Course Completed","2021 January","Palmerstown-Fonthill, South Dublin","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Ballymun-Finglas, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballymun-Finglas, Dublin City","12 years and over","%","1.2"
"Primary Course Completed","2021 January","Cabra-Glasnevin, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cabra-Glasnevin, Dublin City","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballyfermot-Drimnagh, Dublin City","12 years and over","%","2"
"Primary Course Completed","2021 January","Kimmage-Rathmines, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kimmage-Rathmines, Dublin City","12 years and over","%","2.9"
"Primary Course Completed","2021 January","Pembroke, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Pembroke, Dublin City","12 years and over","%","3.8"
"Primary Course Completed","2021 January","South East Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","South East Inner City, Dublin City","12 years and over","%","2.4"
"Primary Course Completed","2021 January","North Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","North Inner City, Dublin City","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Clontarf, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Clontarf, Dublin City","12 years and over","%","2"
"Primary Course Completed","2021 January","Donaghmede, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Donaghmede, Dublin City","12 years and over","%","1.3"
"Primary Course Completed","2021 January","Artane-Whitehall, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Artane-Whitehall, Dublin City","12 years and over","%","2.1"
"Primary Course Completed","2021 January","South West Inner City, Dublin City","5 - 11 years","%",""
"Primary Course Completed","2021 January","South West Inner City, Dublin City","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Ennistimon, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ennistimon, Clare","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Killaloe, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Killaloe, Clare","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Shannon, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Shannon, Clare","12 years and over","%","1.3"
"Primary Course Completed","2021 January","Ennis, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ennis, Clare","12 years and over","%","2"
"Primary Course Completed","2021 January","Kilrush, Clare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kilrush, Clare","12 years and over","%","3.3"
"Primary Course Completed","2021 January","Kanturk, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kanturk, Cork County","12 years and over","%","3.7"
"Primary Course Completed","2021 January","Fermoy, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Fermoy, Cork County","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Midleton, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Midleton, Cork County","12 years and over","%","2.3"
"Primary Course Completed","2021 January","Carrigaline, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carrigaline, Cork County","12 years and over","%","3.2"
"Primary Course Completed","2021 January","Cobh, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cobh, Cork County","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Bandon-Kinsale, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Bandon-Kinsale, Cork County","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Bantry-West Cork, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Bantry-West Cork, Cork County","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Skibbereen-West Cork, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Skibbereen-West Cork, Cork County","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Macroom, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Macroom, Cork County","12 years and over","%","4.2"
"Primary Course Completed","2021 January","Mallow, Cork County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Mallow, Cork County","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Cork City North West, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cork City North West, Cork City","12 years and over","%","3.2"
"Primary Course Completed","2021 January","Cork City North East, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cork City North East, Cork City","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Cork City South East, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cork City South East, Cork City","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Cork City South Central, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cork City South Central, Cork City","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Cork City South West, Cork City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cork City South West, Cork City","12 years and over","%","4.9"
"Primary Course Completed","2021 January","Glenties, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Glenties, Donegal","12 years and over","%","3.8"
"Primary Course Completed","2021 January","Milford, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Milford, Donegal","12 years and over","%","3.8"
"Primary Course Completed","2021 January","Carndonagh, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carndonagh, Donegal","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Buncrana, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Buncrana, Donegal","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Donegal, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Donegal, Donegal","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Letterkenny, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Letterkenny, Donegal","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Lifford-Stranorlar, Donegal","5 - 11 years","%",""
"Primary Course Completed","2021 January","Lifford-Stranorlar, Donegal","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Conamara North, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Conamara North, Galway County","12 years and over","%","3.8"
"Primary Course Completed","2021 January","Tuam, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tuam, Galway County","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Ballinasloe, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballinasloe, Galway County","12 years and over","%","3.6"
"Primary Course Completed","2021 January","Loughrea, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Loughrea, Galway County","12 years and over","%","3.3"
"Primary Course Completed","2021 January","Athenry-Oranmore, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Athenry-Oranmore, Galway County","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Gort-Kinvara, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Gort-Kinvara, Galway County","12 years and over","%","3.2"
"Primary Course Completed","2021 January","Conamara South, Galway County","5 - 11 years","%",""
"Primary Course Completed","2021 January","Conamara South, Galway County","12 years and over","%","4.4"
"Primary Course Completed","2021 January","Galway City West, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Galway City West, Galway City","12 years and over","%","3.3"
"Primary Course Completed","2021 January","Galway City Central, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Galway City Central, Galway City","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Galway City East, Galway City","5 - 11 years","%",""
"Primary Course Completed","2021 January","Galway City East, Galway City","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Listowel, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Listowel, Kerry","12 years and over","%","4.3"
"Primary Course Completed","2021 January","Castleisland, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Castleisland, Kerry","12 years and over","%","5"
"Primary Course Completed","2021 January","Killarney, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Killarney, Kerry","12 years and over","%","3"
"Primary Course Completed","2021 January","Kenmare, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kenmare, Kerry","12 years and over","%","3.3"
"Primary Course Completed","2021 January","Corca Dhuibhne, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Corca Dhuibhne, Kerry","12 years and over","%","4.2"
"Primary Course Completed","2021 January","Tralee, Kerry","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tralee, Kerry","12 years and over","%","4.8"
"Primary Course Completed","2021 January","Maynooth, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Maynooth, Kildare","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Celbridge, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Celbridge, Kildare","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Naas, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Naas, Kildare","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Athy, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Athy, Kildare","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Kildare, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kildare, Kildare","12 years and over","%","2"
"Primary Course Completed","2021 January","Clane, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Clane, Kildare","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Leixlip, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Leixlip, Kildare","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Newbridge, Kildare","5 - 11 years","%",""
"Primary Course Completed","2021 January","Newbridge, Kildare","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Castlecomer, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 January","Castlecomer, Kilkenny","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Kilkenny, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kilkenny, Kilkenny","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Piltown, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 January","Piltown, Kilkenny","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Callan-Thomastown, Kilkenny","5 - 11 years","%",""
"Primary Course Completed","2021 January","Callan-Thomastown, Kilkenny","12 years and over","%","2.5"
"Primary Course Completed","2021 February","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 February","Borris-In-Ossory-Mountmellick, Laois","12 years and over","%","5.4"
"Primary Course Completed","2021 February","Portlaoise, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 February","Portlaoise, Laois","12 years and over","%","4.9"
"Primary Course Completed","2021 February","Graiguecullen -Portarlington, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 February","Graiguecullen -Portarlington, Laois","12 years and over","%","4.6"
"Primary Course Completed","2021 February","Carlow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 February","Carlow, Carlow","12 years and over","%","3.5"
"Primary Course Completed","2021 February","Tullow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 February","Tullow, Carlow","12 years and over","%","4.1"
"Primary Course Completed","2021 February","Muinebeag, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 February","Muinebeag, Carlow","12 years and over","%","4.6"
